interview__key,sdd_hhid,plot_id,plotname,hh_b1b01,hh_b1b02,hh_b1b03,hh_b1b04,hh_b1b05,hh_b1b06,hh_b1b07,hh_b1b08,hh_b1b09,hh_b1b10,hh_b1b11,hh_b1b12,hh_b1b13,hh_b1b16,hh_b1b17,hh_b1b18,hh_b1b19,hh_b1b20,hh_b1b21,hh_b1b22
88-54-76-45,0159-001-002,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
88-54-76-45,0159-001-002,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,NO,
88-55-89-02,0268-001-002,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,OTHER (SPECIFY),OTHER (SPECIFY),RESIDENTIAL,NO,
88-59-03-40,0465-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,STOPPED RENTING/SHARECROPPING,,,**CONFIDENTIAL**,,,,,,
88-59-03-40,0465-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,RESIDENTIAL,NO,
88-59-03-40,0465-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,
88-71-20-70,0050-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
88-71-20-70,0050-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
88-71-20-70,0050-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,TAKEN,,0,**CONFIDENTIAL**,,,,,,
88-74-53-78,0198-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,NO,
