interview__key,sdd_hhid,sdd_indid,hh_g301,hh_g302
09-18-15-86,0101-002-001,7,,
48-76-11-58,0101-003-001,1,YES,1
48-76-11-58,0101-003-001,2,YES,1
48-76-11-58,0101-003-001,3,,
48-76-11-58,0101-003-001,4,,
16-87-89-06,0102-001-001,1,YES,1
16-87-89-06,0102-001-001,2,YES,1
16-87-89-06,0102-001-001,4,,
16-87-89-06,0102-001-001,5,,
16-87-89-06,0102-001-001,6,,
16-87-89-06,0102-001-001,7,,
74-00-49-61,0102-001-003,1,,
74-00-49-61,0102-001-003,2,YES,1
74-00-49-61,0102-001-003,3,NO,
74-00-49-61,0102-001-003,4,,
74-00-49-61,0102-001-003,5,,
74-00-49-61,0102-001-003,6,,
13-27-24-08,0103-001-001,1,,
13-27-24-08,0103-001-001,2,YES,1
13-27-24-08,0103-001-001,4,,
13-27-24-08,0103-001-001,5,,
61-86-51-55,0104-001-001,1,,
61-86-51-55,0104-001-001,2,YES,1
61-86-51-55,0104-001-001,3,,
61-86-51-55,0104-001-001,4,,
61-86-51-55,0104-001-001,5,NO,
61-86-51-55,0104-001-001,7,,
61-86-51-55,0104-001-001,8,,
82-80-49-27,0104-001-006,1,YES,1
82-80-49-27,0104-001-006,2,NO,
82-80-49-27,0104-001-006,3,,
45-01-65-38,0104-008-001,1,YES,1
45-01-65-38,0104-008-001,2,NO,
56-75-17-70,0105-001-001,1,YES,1
56-75-17-70,0105-001-001,2,,
56-75-17-70,0105-001-001,3,,
03-36-44-51,0105-005-001,1,,
03-36-44-51,0105-005-001,2,YES,1
03-36-44-51,0105-005-001,3,,
03-36-44-51,0105-005-001,4,,
03-36-44-51,0105-005-001,5,,
83-56-10-16,0106-001-002,1,YES,1
72-82-51-97,0106-001-003,3,YES,1
72-82-51-97,0106-001-003,4,,
72-82-51-97,0106-001-003,5,NO,
72-82-51-97,0106-001-003,6,,
72-82-51-97,0106-001-003,7,,
72-82-51-97,0106-001-003,8,,
72-82-51-97,0106-001-003,9,,
11-04-09-01,0107-001-001,1,YES,1
51-54-44-86,0108-001-001,1,YES,1
51-54-44-86,0108-001-001,5,YES,1
35-34-97-68,0108-001-002,1,NO,
35-34-97-68,0108-001-002,2,YES,1
35-34-97-68,0108-001-002,3,,
35-34-97-68,0108-001-002,4,,
35-34-97-68,0108-001-002,5,,
47-69-21-93,0109-001-001,1,NO,
47-69-21-93,0109-001-001,5,YES,1
47-69-21-93,0109-001-001,6,,
22-62-73-26,0110-001-001,1,YES,1
22-62-73-26,0110-001-001,3,,
22-62-73-26,0110-001-001,5,,
22-62-73-26,0110-001-001,7,YES,1
22-62-73-26,0110-001-001,8,,
71-21-99-60,0110-001-002,1,YES,1
71-21-99-60,0110-001-002,2,,
71-21-99-60,0110-001-002,3,,
71-21-99-60,0110-001-002,4,,
71-21-99-60,0110-001-002,5,YES,1
71-21-99-60,0110-001-002,6,,
09-03-93-64,0111-001-001,1,YES,1
09-03-93-64,0111-001-001,2,YES,1
09-03-93-64,0111-001-001,3,,
