interview__key,sdd_hhid,cropid,ag7a_02,ag7a_03,ag7a_04,ag7a_05_1,ag7a_05_2,ag7a_06_1,ag7a_06_2,ag7a_07_1a,ag7a_07_1b,ag7a_07_2a,ag7a_07_2b,ag7a_08,ag7a_09,ag7a_10,ag7a_11,ag7a_12,ag7a_13,ag7a_14,ag7a_15,ag7a_16,ag7a_17,ag7a_18,ag7a_19,ag7a_20,ag7a_21
51-99-30-00,0122-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,45,0,0,17,0
51-99-30-00,0122-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,5,45000,30,0,0,40,0
51-99-30-00,0122-001-001,58,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,2,15000,12,0,0,5,0
94-57-72-83,0122-001-002,57,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
43-50-47-25,0122-001-003,57,YES,100,40000,1,2,1,2,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,YES,ROTTING,7,450000,500,0,0,0,0
43-50-47-25,0122-001-003,60,YES,550,485000,1,2,1,2,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,120,0,0,30,0
38-83-27-01,0123-001-001,102,NO,,,,,,,,,,,NO,,,,,NO,,,,6,0,0,5,0
20-77-46-74,0127-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,40,0
20-77-46-74,0127-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,6,0
20-77-46-74,0127-001-001,63,NO,,,,,,,,,,,NO,,,,,NO,,,,28,0,0,10,0
18-53-46-11,0131-001-002,53,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,15,0
18-53-46-11,0131-001-002,55,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,16,0
18-53-46-11,0131-001-002,57,YES,800,200000,1,,1,,M/BIASHARA BINAFSI,WILAYA NYINGINE,M/BIASHARA BINAFSI,WILAYA NYINGINE,NO,,,,,YES,ROTTING,1,20000,80,0,0,80,0
18-53-46-11,0131-001-002,58,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,10,0
18-53-46-11,0131-001-002,59,YES,60,30000,1,2,1,2,M/BIASHARA BINAFSI,WILAYA NYINGINE,M/BIASHARA BINAFSI,WILAYA NYINGINE,NO,,,,,NO,,,,20,0,0,5,0
44-39-10-22,0134-001-001,55,YES,40,10000,1,2,1,2,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,140,0,0,0,0
44-39-10-22,0134-001-001,56,NO,,,,,,,,,,,NO,,,,,NO,,,,0,0,0,0,0
