interview__key,sdd_hhid,sdd_indid,hh_f01,hh_f02,hh_f03,hh_f04,hh_f05,hh_f06,hh_f07,hh_f08,hh_f09,hh_f10,hh_f11,hh_f12,hh_f13,hh_f14,hh_f15
82-54-53-99,0072-003-001,4,NO,,,,,,,,,,,,,,
86-08-97-34,0073-001-001,1,NO,,,,,,,,,,,,,,
86-08-97-34,0073-001-001,3,NO,,,,,,,,,,,,,,
86-08-97-34,0073-001-001,4,NO,,,,,,,,,,,,,,
86-08-97-34,0073-001-001,5,NO,,,,,,,,,,,,,,
86-08-97-34,0073-001-001,6,NO,,,,,,,,,,,,,,
86-08-97-34,0073-001-001,7,NO,,,,,,,,,,,,,,
09-96-03-52,0073-001-002,1,YES,YES,2000,NO,,NO,,YES,6000,YES,500,NO,,NO,
09-96-03-52,0073-001-002,2,NO,,,,,,,,,,,,,,
64-01-68-39,0074-001-001,1,NO,,,,,,,,,,,,,,
64-01-68-39,0074-001-001,2,NO,,,,,,,,,,,,,,
64-01-68-39,0074-001-001,5,YES,NO,,NO,,NO,,NO,,YES,2000,NO,,NO,
64-01-68-39,0074-001-001,6,NO,,,,,,,,,,,,,,
64-01-68-39,0074-001-001,7,NO,,,,,,,,,,,,,,
64-01-68-39,0074-001-001,8,NO,,,,,,,,,,,,,,
64-01-68-39,0074-001-001,9,NO,,,,,,,,,,,,,,
64-01-68-39,0074-001-001,10,NO,,,,,,,,,,,,,,
05-43-63-02,0075-001-003,3,YES,NO,,YES,3000,NO,,NO,,YES,1000,NO,,NO,
69-76-07-75,0077-001-001,1,NO,,,,,,,,,,,,,,
69-76-07-75,0077-001-001,2,NO,,,,,,,,,,,,,,
80-60-48-21,0077-003-001,1,YES,YES,16000,NO,,NO,,NO,,NO,,NO,,NO,
80-60-48-21,0077-003-001,2,NO,,,,,,,,,,,,,,
80-60-48-21,0077-003-001,4,YES,NO,,NO,,NO,,NO,,NO,,NO,,YES,1000
80-60-48-21,0077-003-001,5,NO,,,,,,,,,,,,,,
80-60-48-21,0077-003-001,6,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
80-60-48-21,0077-003-001,7,NO,,,,,,,,,,,,,,
80-60-48-21,0077-003-001,8,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,1,YES,YES,3000,NO,,YES,1500,NO,,NO,,NO,,YES,1000
77-61-09-41,0078-001-001,2,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,3,YES,YES,2000,YES,5000,NO,,NO,,YES,2000,NO,,YES,2000
77-61-09-41,0078-001-001,4,YES,YES,1000,YES,1500,NO,,NO,,YES,1000,NO,,NO,
77-61-09-41,0078-001-001,5,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,6,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,7,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,8,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,9,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,10,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,11,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,12,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,13,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,14,NO,,,,,,,,,,,,,,
77-61-09-41,0078-001-001,15,NO,,,,,,,,,,,,,,
03-09-85-87,0079-001-001,1,NO,,,,,,,,,,,,,,
03-09-85-87,0079-001-001,2,NO,,,,,,,,,,,,,,
03-09-85-87,0079-001-001,3,NO,,,,,,,,,,,,,,
