interview__key,sdd_hhid,cropid,ag5b_01,ag5b_02,ag5b_03,ag5b_04_1,ag5b_04_2,ag5b_05,ag5b_06,ag5b_07_1,ag5b_07_2,ag5b_08,ag5b_09_1,ag5b_09_2,ag5b_10_1,ag5b_10_2,ag5b_11a,ag5b_11_1,ag5b_11_2,ag5b_12,ag5b_13,ag5b_14_1,ag5b_14_2,ag5b_15,ag5b_16_1,ag5b_16_2,ag5b_17_1,ag5b_17_2,ag5b_18,ag5b_19,ag5b_20,ag5b_21,ag5b_22,ag5b_23,ag5b_24,ag5b_25,ag5b_26,ag5b_27,ag5b_28,ag5b_29,ag5b_30,ag5b_31,ag5b_32,ag5b_32a,ag5b_32b,ag5b_32c,ag5b_32d,ag5b_32e,ag5b_33,ag5b_34,ag5b_35,ag5b_36_1a,ag5b_36_1b,ag5b_36_2a,ag5b_36_2b
10-37-19-93,0662-002-002,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,390,10,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
10-37-19-93,0662-002-002,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,100,20,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
74-94-37-74,0663-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,80,0,0,0,0,MULCHED,,,,,,
74-94-37-74,0663-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,60,0,0,0,0,MULCHED,,,,,,
69-75-97-36,0663-003-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,120,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
69-75-97-36,0663-003-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
05-21-74-76,0664-001-001,1,YES,162,63000,SOKO,KARIBU NA KIJIJI,162,63000,MAY,2018,1,1,,1,,HAPANA,,,,,,,,,,,,YES,10,3,BICYCLE,0,YES,36,LOCALLY MADE TRADITIONAL STRUCTURE,NO,,FOOD FOR HOUSEHOLD,NO,,,,90,18,0,18,0,RESIDUE WAS LEFT IN FIELD,,,,,,
05-21-74-76,0664-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,40,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,30,10,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
65-31-48-21,0666-003-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,0,0,0,0,0,OTHER (SPECIFY),,,,,,
96-55-31-90,0667-001-001,1,YES,120,72000,SOKO,KARIBU NA KIJIJI,120,72000,JANUARY,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,YES,3,1,MOTORCYCLE,3000,NO,,,,,,NO,,,,20,10,0,70,0,RESIDUE WAS LEFT IN FIELD,,,,,,
