interview__key,sdd_hhid,plotnum,cropid,ag6b_02,ag6b_03,ag6b_04,ag6b_05,ag6b_06,ag6b_06a,ag6b_07_1,ag6b_07_2,ag6b_07_3,ag6b_07_4,ag6b_08_1,ag6b_08_2,ag6b_09,ag6b_10,ag6b_11
80-23-77-43,0113-001-001,3,29,8,2014,0,NO,,HAPANA,,,,,,,,,
80-23-77-43,0113-001-001,3,30,3,2015,0,NO,,HAPANA,,,,,,,,,
86-56-84-14,0113-002-001,1,30,1,1900,0,NO,,NDIYO,2018,AUGUST,2019,JULY,1,,15,NO,
86-56-84-14,0113-002-001,1,47,1,1900,0,NO,,HAPANA,,,,,,,,,
86-56-84-14,0113-002-001,1,98,2,2014,0,NO,,HAPANA,,,,,,,,,
86-56-84-14,0113-002-001,3,98,88,2015,0,NO,,HAPANA,,,,,,,,,
95-71-62-51,0114-001-001,1,10,45,2019,45,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
61-11-91-19,0118-001-001,1,98,10,2015,0,NO,,HAPANA,,,,,,,,,
67-13-31-42,0119-001-001,3,30,2,1961,0,NO,,NDIYO,2018,JANUARY,2019,JANUARY,1,,25,NO,
98-32-46-89,0120-001-001,1,30,4,2001,0,NO,,NDIYO,2018,AUGUST,2019,JUNE,1,,30,NO,
11-41-50-08,0121-002-001,2,47,1,2013,0,NO,,HAPANA,,,,,,,,,
51-99-30-00,0122-001-001,1,10,120,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2019,APRIL,2019,APRIL,1,,30,NO,
51-99-30-00,0122-001-001,1,29,5,2012,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
51-99-30-00,0122-001-001,1,98,10,2011,5,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
94-57-72-83,0122-001-002,1,10,10,2018,5,NO,,NDIYO,2018,OCTOBER,2019,JUNE,1,,50,NO,
43-50-47-25,0122-001-003,1,30,1,2012,0,NO,,HAPANA,,,,,,,,,
